smoga,semoga
smpe,sampai
sngt,sangat
snjata,senjata
soalnye,soalnya
sodakoh,sedekah
solusiny,solusinya
speda,sepeda
sprt,seperti
spt,seperti
sptnya,sepertinya
stelah,setelah
stlh,setelah
styap,setiap
sumbngan?,sumbangan
sy,saya
sya,saya
syi*h,syiah
syurga,sorga
syykur2,syukur-syukur
tafi,tapi
tak,tidak
tambh,tambah
tangging,tanggung
tangkaaap,tangkap
taqdir,takdir
tar,nanti
tdi,tadi
tdk,tidak
te2p,tetap
telaj,telah
tenang2,tenang-tenang
teriak2,teriak-teriak
terll,terlalu
teroeis,teroris
terooosa,terus
teror2,teror-teror
teuteup,tetap
tgl,tanggal
th,tahun
thd,terhadap
thn,tahun
tk,tidak
tlah,telah
tlg,tolong
tlg,tolong 
tlnya� ,timelinenya
tmn,teman
tnh,tanah
toh,tuh
tp,tapi
tpi,tapi
trims,terimakasih 
trjadi,terjadi
trkhr,terakhir
trs,terus
trus,terus
truzz,terus
tsb,tersebut
ttp,tetap
tuhn,tuhan
tujyannya,tujuannya
tykang,tukang
u,untuk
uda,udah
udh,sudah
udhlah,sudahlah
utk,untuk
utl,untuk
wasap,wa
wowo,prabowo
wrga,warga
y,ya
yaa,ya
yg,yang
yng,yang
zooooonk,zonk
mrk,mereka
"loo,","kamu,"
ngarep,berharap
ye,ya
kacian,kasihan
luh,kamu
maknye.,mukanya
menghalang2i,menghalang-halangi
tetep,tetap
bbrp,beberapa
skr,sekarang
korup,korupsi
sndri,sendiri
byk?,banyak?
aplg,apalagi
lempar2an,lempar-lemparan
statemen,statement
gatau,tidak tahu
mgk,tidak
die,dia
peka'i,pki
cinak,cina
"blm, ","belum ,"
bela2in,bela-belain
"skrng,","sekarang,"
yth.,yang terhormat.
frsutai,frustasi
awaas,awas
booong,bohong
hlang,hilang
mang,emang
gua,aku
enggak,tidak
ngetwiitt,ngetwit
mati2an,mati-matian
ono,itu
ky,kayak
ikut2an,ikut-ikutan
bowo,prabowo
sono,sana
kmpret,kampret
twit,tweet
sampe,sampai
kamfreet,kampret
ana,saya
nakut2i,nakut-nakuti
mba,mbak
koment,komen
ngr2,negara-negara
bp.,bapak
mantaap,mantap
brg,bersama
km,kamu
dmn,dimana
yank,sayang
terusss,terus
nda,tidak
gamau,tidak_mau
bangeettt,banget
boong,bohong
gilla,gila
cepet,cepat
 jhat,jahat
w,saya
seneng,senang
Mrah,marah
sno ,sono 
pkirin,pikirin
 ttg,tentang
gag,tidak
kaga,tidak
naek,naik
gaenak,tidak enak
njing,anjing
gx,tidak
jatohin,jatuhin
abis,habis
bnget,banget
gede,besar
aje,saja
kdg,kadang
nmx,namanya
bgd,banget
mw,mau 
Gmna ,gimana
bdo,bodoh 
amt,amat
klwr,keluar
ujan'na,hujannya
 bgd,banget
nie,ini
mlm,malam
kencank,kencang
cynk,sayang
syg,sayang
met,selamat
say,sayang
cuzz,langsung
mmg,memang
Awak,kamu 
takpa,tidak papa
gapunya,tidak punya
gabisa,tidak bisa
gpp,tidak papa
w,saya
ak,aku
tlh,telah 
and,dan
ngeliat,melihat
gakuat,tidak kuat
tau,tahu
temen,teman
iye,iya
liat,lihat
doank,doang
hri,hari
td,tadi
tdr,tidur
dgr,dengar 
telp,telpon
ja,saja
